	q	m	n	k	odds ratio	p-value	fdr
GeneList1678	5.519000e+03	1.095600e+04	1.104400e+04	1.098900e+04	1.034381e+00	1.074974e-01	0.000000e+00
GeneList1994	5.508000e+03	1.093400e+04	1.106600e+04	1.098900e+04	1.034374e+00	1.075500e-01	0.000000e+00
GeneList1769	5.503000e+03	1.111000e+04	1.089000e+04	1.098900e+04	9.667819e-01	1.076525e-01	0.000000e+00
GeneList1755	5.464000e+03	1.084600e+04	1.115400e+04	1.098900e+04	1.034346e+00	1.077513e-01	0.000000e+00
GeneList973	5.390000e+03	1.088300e+04	1.111700e+04	1.098900e+04	9.670533e-01	1.095933e-01	0.000000e+00
GeneList847	5.587000e+03	1.109300e+04	1.090700e+04	1.098900e+04	1.034059e+00	1.096588e-01	0.000000e+00
GeneList1665	5.582000e+03	1.108300e+04	1.091700e+04	1.098900e+04	1.034054e+00	1.096858e-01	0.000000e+00
GeneList1116	5.412000e+03	1.092700e+04	1.107300e+04	1.098900e+04	9.670710e-01	1.097126e-01	0.000000e+00
GeneList621	5.574000e+03	1.106700e+04	1.093300e+04	1.098900e+04	1.034048e+00	1.097286e-01	0.000000e+00
GeneList564	5.417000e+03	1.093700e+04	1.106300e+04	1.098900e+04	9.670749e-01	1.097392e-01	0.000000e+00
GeneList1791	5.421000e+03	1.094500e+04	1.105500e+04	1.098900e+04	9.670779e-01	1.097603e-01	0.000000e+00
GeneList312	5.429000e+03	1.096100e+04	1.103900e+04	1.098900e+04	9.670840e-01	1.098023e-01	0.000000e+00
GeneList601	5.447000e+03	1.099700e+04	1.100300e+04	1.098900e+04	9.670970e-01	1.098949e-01	0.000000e+00
GeneList714	5.539000e+03	1.099700e+04	1.100300e+04	1.098900e+04	1.034020e+00	1.099101e-01	0.000000e+00
GeneList746	5.516000e+03	1.095100e+04	1.104900e+04	1.098900e+04	1.034004e+00	1.100244e-01	0.000000e+00
GeneList460	5.495000e+03	1.090900e+04	1.109100e+04	1.098900e+04	1.033989e+00	1.101254e-01	0.000000e+00
GeneList1610	5.388000e+03	1.087800e+04	1.112200e+04	1.098900e+04	9.674030e-01	1.121292e-01	0.000000e+00
GeneList650	5.580000e+03	1.108000e+04	1.092000e+04	1.098900e+04	1.033677e+00	1.122453e-01	0.000000e+00
GeneList1182	5.412000e+03	1.092600e+04	1.107400e+04	1.098900e+04	9.674224e-01	1.122617e-01	0.000000e+00
GeneList1181	5.573000e+03	1.106600e+04	1.093400e+04	1.098900e+04	1.033671e+00	1.122833e-01	0.000000e+00
GeneList425	5.421000e+03	1.094400e+04	1.105600e+04	1.098900e+04	9.674293e-01	1.123102e-01	0.000000e+00
GeneList1119	5.567000e+03	1.105400e+04	1.094600e+04	1.098900e+04	1.033666e+00	1.123156e-01	0.000000e+00
GeneList107	5.562000e+03	1.104400e+04	1.095600e+04	1.098900e+04	1.033662e+00	1.123423e-01	0.000000e+00
GeneList1364	5.432000e+03	1.096600e+04	1.103400e+04	1.098900e+04	9.674376e-01	1.123687e-01	0.000000e+00
GeneList955	5.556000e+03	1.103200e+04	1.096800e+04	1.098900e+04	1.033658e+00	1.123740e-01	0.000000e+00
GeneList1208	5.553000e+03	1.102600e+04	1.097400e+04	1.098900e+04	1.033655e+00	1.123898e-01	0.000000e+00
GeneList1033	5.444000e+03	1.099000e+04	1.101000e+04	1.098900e+04	9.674463e-01	1.124316e-01	0.000000e+00
GeneList380	5.459000e+03	1.102000e+04	1.098000e+04	1.098900e+04	9.674568e-01	1.125086e-01	0.000000e+00
GeneList594	5.466000e+03	1.103400e+04	1.096600e+04	1.098900e+04	9.674615e-01	1.125439e-01	0.000000e+00
GeneList815	5.519000e+03	1.095800e+04	1.104200e+04	1.098900e+04	1.033630e+00	1.125639e-01	0.000000e+00
GeneList1188	5.515000e+03	1.095000e+04	1.105000e+04	1.098900e+04	1.033627e+00	1.125839e-01	0.000000e+00
GeneList1576	5.500000e+03	1.092000e+04	1.108000e+04	1.098900e+04	1.033617e+00	1.126575e-01	0.000000e+00
GeneList1902	5.497000e+03	1.109600e+04	1.090400e+04	1.098900e+04	9.674812e-01	1.126961e-01	0.000000e+00
GeneList1929	5.453000e+03	1.100700e+04	1.099300e+04	1.098900e+04	9.678042e-01	1.150727e-01	0.000000e+00
GeneList1557	5.455000e+03	1.101100e+04	1.098900e+04	1.098900e+04	9.678056e-01	1.150831e-01	0.000000e+00
GeneList978	5.506000e+03	1.111300e+04	1.088700e+04	1.098900e+04	9.678382e-01	1.153383e-01	0.000000e+00
GeneList1121	5.479000e+03	1.087900e+04	1.112100e+04	1.098900e+04	1.033228e+00	1.153575e-01	0.000000e+00
GeneList1226	5.607000e+03	1.113600e+04	1.086400e+04	1.098900e+04	1.032950e+00	1.173145e-01	0.000000e+00
GeneList1010	5.592000e+03	1.110600e+04	1.089400e+04	1.098900e+04	1.032937e+00	1.174012e-01	0.000000e+00
GeneList344	5.416000e+03	1.093200e+04	1.106800e+04	1.098900e+04	9.681286e-01	1.175086e-01	0.000000e+00
GeneList1975	5.560000e+03	1.104200e+04	1.095800e+04	1.098900e+04	1.032910e+00	1.175804e-01	0.000000e+00
GeneList589	5.431000e+03	1.096200e+04	1.103800e+04	1.098900e+04	9.681400e-01	1.175914e-01	0.000000e+00
GeneList1328	5.457000e+03	1.101400e+04	1.098600e+04	1.098900e+04	9.681586e-01	1.177309e-01	0.000000e+00
GeneList1115	5.497000e+03	1.109400e+04	1.090600e+04	1.098900e+04	9.681846e-01	1.179356e-01	0.000000e+00
GeneList956	5.456000e+03	1.083400e+04	1.116600e+04	1.098900e+04	1.032839e+00	1.181094e-01	0.000000e+00
GeneList1612	5.599000e+03	1.112100e+04	1.087900e+04	1.098900e+04	1.032568e+00	1.200348e-01	0.000000e+00
GeneList997	5.391000e+03	1.088100e+04	1.111900e+04	1.098900e+04	9.684603e-01	1.200407e-01	0.000000e+00
GeneList370	5.393000e+03	1.088500e+04	1.111500e+04	1.098900e+04	9.684620e-01	1.200524e-01	0.000000e+00
GeneList1894	5.407000e+03	1.091300e+04	1.108700e+04	1.098900e+04	9.684733e-01	1.201335e-01	0.000000e+00
GeneList1957	5.412000e+03	1.092300e+04	1.107700e+04	1.098900e+04	9.684772e-01	1.201621e-01	0.000000e+00
GeneList687	5.423000e+03	1.094500e+04	1.105500e+04	1.098900e+04	9.684857e-01	1.202243e-01	0.000000e+00
GeneList1511	5.552000e+03	1.102700e+04	1.097300e+04	1.098900e+04	1.032529e+00	1.203022e-01	0.000000e+00
GeneList1246	5.552000e+03	1.102700e+04	1.097300e+04	1.098900e+04	1.032529e+00	1.203022e-01	0.000000e+00
GeneList641	5.551000e+03	1.102500e+04	1.097500e+04	1.098900e+04	1.032528e+00	1.203077e-01	0.000000e+00
GeneList1733	5.473000e+03	1.104500e+04	1.095500e+04	1.098900e+04	9.685212e-01	1.204956e-01	0.000000e+00
GeneList1819	5.506000e+03	1.093500e+04	1.106500e+04	1.098900e+04	1.032495e+00	1.205475e-01	0.000000e+00
GeneList488	5.484000e+03	1.106700e+04	1.093300e+04	1.098900e+04	9.685283e-01	1.205527e-01	0.000000e+00
GeneList1019	5.497000e+03	1.091700e+04	1.108300e+04	1.098900e+04	1.032489e+00	1.205937e-01	0.000000e+00
GeneList1836	5.622000e+03	1.116800e+04	1.083200e+04	1.098900e+04	1.032214e+00	1.226123e-01	0.000000e+00
GeneList657	5.569000e+03	1.106200e+04	1.093800e+04	1.098900e+04	1.032167e+00	1.229267e-01	0.000000e+00
GeneList1451	5.558000e+03	1.104000e+04	1.096000e+04	1.098900e+04	1.032158e+00	1.229892e-01	0.000000e+00
GeneList1573	5.436000e+03	1.097000e+04	1.103000e+04	1.098900e+04	9.688474e-01	1.230173e-01	0.000000e+00
GeneList246	5.551000e+03	1.102600e+04	1.097400e+04	1.098900e+04	1.032153e+00	1.230285e-01	0.000000e+00
GeneList195	5.539000e+03	1.100200e+04	1.099800e+04	1.098900e+04	1.032144e+00	1.230951e-01	0.000000e+00
GeneList1372	5.531000e+03	1.098600e+04	1.101400e+04	1.098900e+04	1.032138e+00	1.231388e-01	0.000000e+00
GeneList1262	5.526000e+03	1.097600e+04	1.102400e+04	1.098900e+04	1.032134e+00	1.231659e-01	0.000000e+00
GeneList1607	5.497000e+03	1.091800e+04	1.108200e+04	1.098900e+04	1.032114e+00	1.233194e-01	0.000000e+00
GeneList1646	5.497000e+03	1.091800e+04	1.108200e+04	1.098900e+04	1.032114e+00	1.233194e-01	0.000000e+00
GeneList85	5.496000e+03	1.091600e+04	1.108400e+04	1.098900e+04	1.032113e+00	1.233245e-01	0.000000e+00
GeneList482	5.461000e+03	1.084600e+04	1.115400e+04	1.098900e+04	1.032091e+00	1.235008e-01	0.000000e+00
GeneList1685	5.613000e+03	1.115100e+04	1.084900e+04	1.098900e+04	1.031830e+00	1.254253e-01	0.000000e+00
GeneList1203	5.413000e+03	1.092300e+04	1.107700e+04	1.098900e+04	9.691819e-01	1.256478e-01	0.000000e+00
GeneList1953	5.552000e+03	1.102900e+04	1.097100e+04	1.098900e+04	1.031779e+00	1.257866e-01	0.000000e+00
GeneList1469	5.448000e+03	1.099300e+04	1.100700e+04	1.098900e+04	9.692081e-01	1.258487e-01	0.000000e+00
GeneList257	5.468000e+03	1.103300e+04	1.096700e+04	1.098900e+04	9.692219e-01	1.259593e-01	0.000000e+00
GeneList639	5.513000e+03	1.095100e+04	1.104900e+04	1.098900e+04	1.031750e+00	1.260026e-01	0.000000e+00
GeneList1858	5.484000e+03	1.106500e+04	1.093500e+04	1.098900e+04	9.692324e-01	1.260455e-01	0.000000e+00
GeneList1636	5.477000e+03	1.087900e+04	1.112100e+04	1.098900e+04	1.031726e+00	1.261917e-01	0.000000e+00
GeneList1101	5.470000e+03	1.086500e+04	1.113500e+04	1.098900e+04	1.031722e+00	1.262273e-01	0.000000e+00
GeneList113	5.426000e+03	1.094800e+04	1.105200e+04	1.098900e+04	9.695441e-01	1.285292e-01	0.000000e+00
GeneList143	5.556000e+03	1.103800e+04	1.096200e+04	1.098900e+04	1.031407e+00	1.285700e-01	0.000000e+00
GeneList409	5.548000e+03	1.102200e+04	1.097800e+04	1.098900e+04	1.031401e+00	1.286163e-01	0.000000e+00
GeneList1142	5.445000e+03	1.098600e+04	1.101400e+04	1.098900e+04	9.695581e-01	1.286392e-01	0.000000e+00
GeneList1376	5.448000e+03	1.099200e+04	1.100800e+04	1.098900e+04	9.695602e-01	1.286563e-01	0.000000e+00
GeneList540	5.540000e+03	1.100600e+04	1.099400e+04	1.098900e+04	1.031395e+00	1.286620e-01	0.000000e+00
GeneList1148	5.507000e+03	1.094000e+04	1.106000e+04	1.098900e+04	1.031371e+00	1.288455e-01	0.000000e+00
GeneList799	5.501000e+03	1.092800e+04	1.107200e+04	1.098900e+04	1.031367e+00	1.288780e-01	0.000000e+00
GeneList213	5.491000e+03	1.107800e+04	1.092200e+04	1.098900e+04	9.695891e-01	1.288941e-01	0.000000e+00
GeneList1493	5.489000e+03	1.090400e+04	1.109600e+04	1.098900e+04	1.031359e+00	1.289421e-01	0.000000e+00
GeneList581	5.469000e+03	1.086400e+04	1.113600e+04	1.098900e+04	1.031346e+00	1.290465e-01	0.000000e+00
GeneList269	5.419000e+03	1.093300e+04	1.106700e+04	1.098900e+04	9.698910e-01	1.313361e-01	0.000000e+00
GeneList730	5.422000e+03	1.093900e+04	1.106100e+04	1.098900e+04	9.698933e-01	1.313541e-01	0.000000e+00
GeneList1375	5.460000e+03	1.101500e+04	1.098500e+04	1.098900e+04	9.699210e-01	1.315760e-01	0.000000e+00
GeneList1480	5.527000e+03	1.098100e+04	1.101900e+04	1.098900e+04	1.031010e+00	1.315874e-01	0.000000e+00
GeneList1681	5.475000e+03	1.104500e+04	1.095500e+04	1.098900e+04	9.699311e-01	1.316605e-01	0.000000e+00
GeneList1042	5.478000e+03	1.105100e+04	1.094900e+04	1.098900e+04	9.699331e-01	1.316772e-01	0.000000e+00
GeneList1484	5.481000e+03	1.105700e+04	1.094300e+04	1.098900e+04	9.699351e-01	1.316939e-01	0.000000e+00
GeneList443	5.482000e+03	1.105900e+04	1.094100e+04	1.098900e+04	9.699357e-01	1.316994e-01	0.000000e+00
GeneList1578	5.500000e+03	1.092700e+04	1.107300e+04	1.098900e+04	1.030991e+00	1.317379e-01	0.000000e+00
GeneList1460	5.485000e+03	1.089700e+04	1.110300e+04	1.098900e+04	1.030982e+00	1.318190e-01	0.000000e+00
GeneList51	5.480000e+03	1.088700e+04	1.111300e+04	1.098900e+04	1.030978e+00	1.318457e-01	0.000000e+00
GeneList57	5.478000e+03	1.088300e+04	1.111700e+04	1.098900e+04	1.030977e+00	1.318563e-01	0.000000e+00
GeneList1296	5.603000e+03	1.113400e+04	1.086600e+04	1.098900e+04	1.030697e+00	1.340220e-01	0.000000e+00
GeneList1767	5.403000e+03	1.090000e+04	1.110000e+04	1.098900e+04	9.702308e-01	1.341289e-01	0.000000e+00
GeneList760	5.409000e+03	1.091200e+04	1.108800e+04	1.098900e+04	9.702356e-01	1.341661e-01	0.000000e+00
GeneList1418	5.565000e+03	1.105800e+04	1.094200e+04	1.098900e+04	1.030665e+00	1.342580e-01	0.000000e+00
GeneList39	5.439000e+03	1.097200e+04	1.102800e+04	1.098900e+04	9.702584e-01	1.343480e-01	0.000000e+00
GeneList1369	5.440000e+03	1.097400e+04	1.102600e+04	1.098900e+04	9.702592e-01	1.343540e-01	0.000000e+00
GeneList573	5.445000e+03	1.098400e+04	1.101600e+04	1.098900e+04	9.702628e-01	1.343836e-01	0.000000e+00
GeneList1865	5.534000e+03	1.099600e+04	1.100400e+04	1.098900e+04	1.030641e+00	1.344422e-01	0.000000e+00
GeneList207	5.514000e+03	1.095600e+04	1.104400e+04	1.098900e+04	1.030627e+00	1.345571e-01	0.000000e+00
GeneList1562	5.491000e+03	1.107600e+04	1.092400e+04	1.098900e+04	9.702939e-01	1.346468e-01	0.000000e+00
GeneList1408	5.496000e+03	1.092000e+04	1.108000e+04	1.098900e+04	1.030614e+00	1.346579e-01	0.000000e+00
GeneList1642	5.502000e+03	1.109800e+04	1.090200e+04	1.098900e+04	9.703008e-01	1.347073e-01	0.000000e+00
GeneList883	5.431000e+03	1.095500e+04	1.104500e+04	1.098900e+04	9.706051e-01	1.372362e-01	0.000000e+00
GeneList1472	5.439000e+03	1.097100e+04	1.102900e+04	1.098900e+04	9.706110e-01	1.372847e-01	0.000000e+00
GeneList991	5.446000e+03	1.098500e+04	1.101500e+04	1.098900e+04	9.706161e-01	1.373268e-01	0.000000e+00
GeneList690	5.450000e+03	1.099300e+04	1.100700e+04	1.098900e+04	9.706189e-01	1.373507e-01	0.000000e+00
GeneList928	5.535000e+03	1.099900e+04	1.100100e+04	1.098900e+04	1.030267e+00	1.373744e-01	0.000000e+00
GeneList358	5.529000e+03	1.098700e+04	1.101300e+04	1.098900e+04	1.030263e+00	1.374098e-01	0.000000e+00
GeneList1443	5.461000e+03	1.101500e+04	1.098500e+04	1.098900e+04	9.706267e-01	1.374157e-01	0.000000e+00
GeneList338	5.511000e+03	1.095100e+04	1.104900e+04	1.098900e+04	1.030250e+00	1.375143e-01	0.000000e+00
GeneList1167	5.503000e+03	1.093500e+04	1.106500e+04	1.098900e+04	1.030245e+00	1.375600e-01	0.000000e+00
GeneList1970	5.494000e+03	1.091700e+04	1.108300e+04	1.098900e+04	1.030238e+00	1.376107e-01	0.000000e+00
GeneList89	5.513000e+03	1.111900e+04	1.088100e+04	1.098900e+04	9.706601e-01	1.377103e-01	0.000000e+00
GeneList1368	5.463000e+03	1.085500e+04	1.114500e+04	1.098900e+04	1.030219e+00	1.377807e-01	0.000000e+00
GeneList104	5.610000e+03	1.115000e+04	1.085000e+04	1.098900e+04	1.029955e+00	1.398832e-01	0.000000e+00
GeneList927	5.569000e+03	1.106800e+04	1.093200e+04	1.098900e+04	1.029920e+00	1.401471e-01	0.000000e+00
GeneList1397	5.568000e+03	1.106600e+04	1.093400e+04	1.098900e+04	1.029919e+00	1.401534e-01	0.000000e+00
GeneList912	5.561000e+03	1.105200e+04	1.094800e+04	1.098900e+04	1.029913e+00	1.401971e-01	0.000000e+00
GeneList489	5.557000e+03	1.104400e+04	1.095600e+04	1.098900e+04	1.029910e+00	1.402219e-01	0.000000e+00
GeneList137	5.541000e+03	1.101200e+04	1.098800e+04	1.098900e+04	1.029898e+00	1.403198e-01	0.000000e+00
GeneList415	5.534000e+03	1.099800e+04	1.100200e+04	1.098900e+04	1.029892e+00	1.403621e-01	0.000000e+00
GeneList1059	5.508000e+03	1.094600e+04	1.105400e+04	1.098900e+04	1.029874e+00	1.405156e-01	0.000000e+00
GeneList1782	5.494000e+03	1.108000e+04	1.092000e+04	1.098900e+04	9.710012e-01	1.405904e-01	0.000000e+00
GeneList1091	5.486000e+03	1.090200e+04	1.109800e+04	1.098900e+04	1.029859e+00	1.406414e-01	0.000000e+00
GeneList350	5.482000e+03	1.089400e+04	1.110600e+04	1.098900e+04	1.029856e+00	1.406638e-01	0.000000e+00
GeneList1403	5.581000e+03	1.109300e+04	1.090700e+04	1.098900e+04	1.029556e+00	1.430923e-01	0.000000e+00
GeneList1947	5.570000e+03	1.107100e+04	1.092900e+04	1.098900e+04	1.029547e+00	1.431629e-01	0.000000e+00
GeneList1046	5.534000e+03	1.099900e+04	1.100100e+04	1.098900e+04	1.029518e+00	1.433874e-01	0.000000e+00
GeneList131	5.462000e+03	1.101500e+04	1.098500e+04	1.098900e+04	9.713329e-01	1.434299e-01	0.000000e+00
GeneList1726	5.515000e+03	1.096100e+04	1.103900e+04	1.098900e+04	1.029505e+00	1.435019e-01	0.000000e+00
GeneList1495	5.482000e+03	1.105500e+04	1.094500e+04	1.098900e+04	9.713464e-01	1.435492e-01	0.000000e+00
GeneList1852	5.485000e+03	1.106100e+04	1.093900e+04	1.098900e+04	9.713483e-01	1.435668e-01	0.000000e+00
GeneList1008	5.499000e+03	1.092900e+04	1.107100e+04	1.098900e+04	1.029493e+00	1.435960e-01	0.000000e+00
GeneList1800	5.444000e+03	1.081900e+04	1.118100e+04	1.098900e+04	1.029459e+00	1.439046e-01	0.000000e+00
GeneList440	5.360000e+03	1.081000e+04	1.119000e+04	1.098900e+04	9.716054e-01	1.458334e-01	0.000000e+00
GeneList1978	5.618000e+03	1.116800e+04	1.083200e+04	1.098900e+04	1.029214e+00	1.459092e-01	0.000000e+00
GeneList1426	5.385000e+03	1.086000e+04	1.114000e+04	1.098900e+04	9.716269e-01	1.460042e-01	0.000000e+00
GeneList953	5.568000e+03	1.106800e+04	1.093200e+04	1.098900e+04	1.029171e+00	1.462416e-01	0.000000e+00
GeneList1152	5.550000e+03	1.103200e+04	1.096800e+04	1.098900e+04	1.029157e+00	1.463565e-01	0.000000e+00
GeneList490	5.442000e+03	1.097400e+04	1.102600e+04	1.098900e+04	9.716716e-01	1.463754e-01	0.000000e+00
GeneList1021	5.545000e+03	1.102200e+04	1.097800e+04	1.098900e+04	1.029153e+00	1.463880e-01	0.000000e+00
GeneList757	5.445000e+03	1.098000e+04	1.102000e+04	1.098900e+04	9.716738e-01	1.463942e-01	0.000000e+00
GeneList1177	5.534000e+03	1.100000e+04	1.100000e+04	1.098900e+04	1.029144e+00	1.464565e-01	0.000000e+00
GeneList360	5.463000e+03	1.101600e+04	1.098400e+04	1.098900e+04	9.716865e-01	1.465058e-01	0.000000e+00
GeneList1629	5.515000e+03	1.096200e+04	1.103800e+04	1.098900e+04	1.029131e+00	1.465727e-01	0.000000e+00
GeneList1741	5.512000e+03	1.095600e+04	1.104400e+04	1.098900e+04	1.029128e+00	1.465908e-01	0.000000e+00
GeneList1676	5.477000e+03	1.104400e+04	1.095600e+04	1.098900e+04	9.716960e-01	1.465908e-01	0.000000e+00
GeneList775	5.477000e+03	1.104400e+04	1.095600e+04	1.098900e+04	9.716960e-01	1.465908e-01	0.000000e+00
GeneList1446	5.478000e+03	1.104600e+04	1.095400e+04	1.098900e+04	9.716967e-01	1.465968e-01	0.000000e+00
GeneList872	5.482000e+03	1.105400e+04	1.094600e+04	1.098900e+04	9.716993e-01	1.466207e-01	0.000000e+00
GeneList465	5.488000e+03	1.090800e+04	1.109200e+04	1.098900e+04	1.029112e+00	1.467329e-01	0.000000e+00
GeneList940	5.474000e+03	1.088000e+04	1.112000e+04	1.098900e+04	1.029103e+00	1.468137e-01	0.000000e+00
GeneList1603	5.422000e+03	1.093300e+04	1.106700e+04	1.098900e+04	9.720096e-01	1.493579e-01	0.000000e+00
GeneList1583	5.563000e+03	1.105900e+04	1.094100e+04	1.098900e+04	1.028793e+00	1.493840e-01	0.000000e+00
GeneList1322	5.446000e+03	1.098100e+04	1.101900e+04	1.098900e+04	9.720275e-01	1.495125e-01	0.000000e+00
GeneList291	5.451000e+03	1.099100e+04	1.100900e+04	1.098900e+04	9.720311e-01	1.495442e-01	0.000000e+00
GeneList982	5.461000e+03	1.101100e+04	1.098900e+04	1.098900e+04	9.720382e-01	1.496069e-01	0.000000e+00
GeneList144	5.527000e+03	1.098700e+04	1.101300e+04	1.098900e+04	1.028765e+00	1.496131e-01	0.000000e+00
GeneList114	5.521000e+03	1.097500e+04	1.102500e+04	1.098900e+04	1.028761e+00	1.496503e-01	0.000000e+00
GeneList1406	5.484000e+03	1.105700e+04	1.094300e+04	1.098900e+04	9.720538e-01	1.497482e-01	0.000000e+00
GeneList1048	5.504000e+03	1.094100e+04	1.105900e+04	1.098900e+04	1.028749e+00	1.497542e-01	0.000000e+00
GeneList694	5.501000e+03	1.093500e+04	1.106500e+04	1.098900e+04	1.028747e+00	1.497724e-01	0.000000e+00
GeneList193	5.499000e+03	1.093100e+04	1.106900e+04	1.098900e+04	1.028746e+00	1.497844e-01	0.000000e+00
GeneList1849	5.487000e+03	1.090700e+04	1.109300e+04	1.098900e+04	1.028738e+00	1.498559e-01	0.000000e+00
GeneList1892	5.390000e+03	1.086800e+04	1.113200e+04	1.098900e+04	9.723373e-01	1.522954e-01	0.000000e+00
GeneList288	5.592000e+03	1.111800e+04	1.088200e+04	1.098900e+04	1.028444e+00	1.523434e-01	0.000000e+00
GeneList1995	5.590000e+03	1.111400e+04	1.088600e+04	1.098900e+04	1.028442e+00	1.523570e-01	0.000000e+00
GeneList898	5.578000e+03	1.109000e+04	1.091000e+04	1.098900e+04	1.028432e+00	1.524382e-01	0.000000e+00
GeneList1745	5.567000e+03	1.106800e+04	1.093200e+04	1.098900e+04	1.028423e+00	1.525116e-01	0.000000e+00
GeneList891	5.564000e+03	1.106200e+04	1.093800e+04	1.098900e+04	1.028420e+00	1.525314e-01	0.000000e+00
GeneList1450	5.434000e+03	1.095600e+04	1.104400e+04	1.098900e+04	9.723719e-01	1.525905e-01	0.000000e+00
GeneList1448	5.437000e+03	1.096200e+04	1.103800e+04	1.098900e+04	9.723741e-01	1.526101e-01	0.000000e+00
GeneList1139	5.437000e+03	1.096200e+04	1.103800e+04	1.098900e+04	9.723741e-01	1.526101e-01	0.000000e+00
GeneList1049	5.539000e+03	1.101200e+04	1.098800e+04	1.098900e+04	1.028401e+00	1.526941e-01	0.000000e+00
GeneList721	5.454000e+03	1.099600e+04	1.100400e+04	1.098900e+04	9.723865e-01	1.527197e-01	0.000000e+00
GeneList1095	5.535000e+03	1.100400e+04	1.099600e+04	1.098900e+04	1.028398e+00	1.527197e-01	0.000000e+00
GeneList1278	5.457000e+03	1.100200e+04	1.099800e+04	1.098900e+04	9.723886e-01	1.527388e-01	0.000000e+00
GeneList1201	5.526000e+03	1.098600e+04	1.101400e+04	1.098900e+04	1.028391e+00	1.527768e-01	0.000000e+00
GeneList768	5.464000e+03	1.101600e+04	1.098400e+04	1.098900e+04	9.723935e-01	1.527831e-01	0.000000e+00
GeneList595	5.516000e+03	1.096600e+04	1.103400e+04	1.098900e+04	1.028384e+00	1.528395e-01	0.000000e+00
GeneList638	5.488000e+03	1.106400e+04	1.093600e+04	1.098900e+04	9.724096e-01	1.529321e-01	0.000000e+00
GeneList895	5.387000e+03	1.086100e+04	1.113900e+04	1.098900e+04	9.726881e-01	1.554690e-01	0.000000e+00
GeneList518	5.421000e+03	1.092900e+04	1.107100e+04	1.098900e+04	9.727153e-01	1.557024e-01	0.000000e+00
GeneList1946	5.542000e+03	1.101900e+04	1.098100e+04	1.098900e+04	1.028029e+00	1.558747e-01	0.000000e+00
GeneList1155	5.540000e+03	1.101500e+04	1.098500e+04	1.098900e+04	1.028028e+00	1.558877e-01	0.000000e+00
GeneList1775	5.452000e+03	1.099100e+04	1.100900e+04	1.098900e+04	9.727384e-01	1.559072e-01	0.000000e+00
GeneList173	5.453000e+03	1.099300e+04	1.100700e+04	1.098900e+04	9.727391e-01	1.559137e-01	0.000000e+00
GeneList1481	5.455000e+03	1.099700e+04	1.100300e+04	1.098900e+04	9.727405e-01	1.559267e-01	0.000000e+00
GeneList153	5.462000e+03	1.101100e+04	1.098900e+04	1.098900e+04	9.727454e-01	1.559717e-01	0.000000e+00
GeneList1415	5.465000e+03	1.101700e+04	1.098300e+04	1.098900e+04	9.727475e-01	1.559909e-01	0.000000e+00
GeneList11	5.511000e+03	1.095700e+04	1.104300e+04	1.098900e+04	1.028007e+00	1.560732e-01	0.000000e+00
GeneList1275	5.507000e+03	1.110100e+04	1.089900e+04	1.098900e+04	9.727750e-01	1.562522e-01	0.000000e+00
GeneList1910	5.476000e+03	1.088700e+04	1.111300e+04	1.098900e+04	1.027983e+00	1.562884e-01	0.000000e+00
GeneList651	5.347000e+03	1.078000e+04	1.122000e+04	1.098900e+04	9.730069e-01	1.584175e-01	0.000000e+00
GeneList1712	5.583000e+03	1.110200e+04	1.089800e+04	1.098900e+04	1.027689e+00	1.588405e-01	0.000000e+00
GeneList1885	5.439000e+03	1.096400e+04	1.103600e+04	1.098900e+04	9.730824e-01	1.590652e-01	0.000000e+00
GeneList1202	5.456000e+03	1.099800e+04	1.100200e+04	1.098900e+04	9.730947e-01	1.591777e-01	0.000000e+00
GeneList833	5.515000e+03	1.096600e+04	1.103400e+04	1.098900e+04	1.027636e+00	1.592943e-01	0.000000e+00
GeneList1884	5.511000e+03	1.095800e+04	1.104200e+04	1.098900e+04	1.027633e+00	1.593198e-01	0.000000e+00
GeneList61	5.496000e+03	1.092800e+04	1.107200e+04	1.098900e+04	1.027623e+00	1.594146e-01	0.000000e+00
GeneList1258	5.492000e+03	1.092000e+04	1.108000e+04	1.098900e+04	1.027620e+00	1.594396e-01	0.000000e+00
GeneList1875	5.486000e+03	1.090800e+04	1.109200e+04	1.098900e+04	1.027616e+00	1.594768e-01	0.000000e+00
GeneList957	5.459000e+03	1.085400e+04	1.114600e+04	1.098900e+04	1.027599e+00	1.596408e-01	0.000000e+00
GeneList461	5.407000e+03	1.089900e+04	1.110100e+04	1.098900e+04	9.734113e-01	1.621314e-01	0.000000e+00
GeneList365	5.578000e+03	1.109300e+04	1.090700e+04	1.098900e+04	1.027312e+00	1.621595e-01	0.000000e+00
GeneList2000	5.565000e+03	1.106700e+04	1.093300e+04	1.098900e+04	1.027301e+00	1.622497e-01	0.000000e+00
GeneList706	5.557000e+03	1.105100e+04	1.094900e+04	1.098900e+04	1.027295e+00	1.623046e-01	0.000000e+00
GeneList901	5.550000e+03	1.103700e+04	1.096300e+04	1.098900e+04	1.027289e+00	1.623522e-01	0.000000e+00
GeneList1829	5.540000e+03	1.101700e+04	1.098300e+04	1.098900e+04	1.027281e+00	1.624195e-01	0.000000e+00
GeneList1835	5.453000e+03	1.099100e+04	1.100900e+04	1.098900e+04	9.734461e-01	1.624462e-01	0.000000e+00
GeneList1900	5.536000e+03	1.100900e+04	1.099100e+04	1.098900e+04	1.027278e+00	1.624462e-01	0.000000e+00
