	NR_kstwo
A2.392	0.825204
A2.393	0.490586
A2.394	-0.211047
A2.395	1.103461
A2.396	-2.254827
A2.397	-0.400119
A2.398	-0.676456
A2.399	-0.888917
A2.400	0.221635
A2.401	0.482573
A2.402	-0.034084
A2.403	-0.164186
A2.404	0.099942
A2.405	-1.205128
A2.406	-1.261807
A2.407	-2.163919
A2.408	-1.649768
A2.409	0.437202
A2.410	-1.126955
A2.411	0.200109
A2.412	-0.028736
A2.413	2.318104
A2.414	-0.567973
A2.415	-1.356275
A2.416	0.668415
A2.417	2.343311
A2.418	-0.046965
A2.419	1.144162
A2.420	-0.571665
A2.421	0.351420
A2.422	0.601768
A2.423	-2.198038
A2.424	-0.662012
A2.425	-0.324080
A2.426	0.985067
A2.427	-0.037575
A2.428	-0.765286
A2.429	-1.160415
A2.430	-2.119509
A2.431	-1.473068
A2.432	0.400115
A2.433	0.875293
A2.434	-0.529149
A2.435	-1.203669
A2.436	1.402671
A2.437	-1.525910
A2.438	-0.582534
A2.439	0.133516
A2.440	1.594300
A2.441	-1.248118
A2.442	2.779895
A2.443	0.855379
A2.444	1.269348
A2.445	-1.407666
A2.446	-1.000026
A2.447	0.486843
A2.448	-0.634381
A2.449	-1.216170
A2.450	0.565261
A2.451	-0.221924
A2.452	-0.699432
A2.453	-0.294445
A2.454	-0.857644
A2.455	-1.590102
A2.456	1.128352
A2.457	-0.201288
A2.458	1.907048
A2.459	-0.728456
A2.460	1.787350
A2.461	-0.074794
A2.462	0.674932
A2.463	1.100465
A2.464	-1.557365
A2.465	-0.987278
A2.466	-0.109687
A2.467	0.363071
A2.468	0.598550
A2.469	-0.664033
A2.470	0.719870
A2.471	-0.548203
A2.472	0.809190
A2.473	0.071720
A2.474	1.697977
A2.475	-0.112372
A2.476	0.243479
A2.477	-0.477830
A2.478	-0.730958
A2.479	0.866795
A2.480	0.517068
A2.481	1.324108
A2.482	-2.046970
A2.483	1.054849
A2.484	0.089997
A2.485	0.579732
A2.486	0.895764
A2.487	0.472990
A2.488	-1.103700
A2.489	-0.110836
A2.490	0.112085
A2.491	-1.275090
A2.492	-1.839021
A2.493	0.233229
A2.494	0.398872
A2.495	0.768776
A2.496	-1.080746
A2.497	-0.692684
A2.498	1.048360
A2.499	-0.336916
A2.500	1.348135
A2.501	-0.429116
A2.502	-1.327971
A2.503	-1.557777
A2.504	-0.314350
A2.505	0.503764
A2.506	-0.513530
A2.507	-2.021754
A2.508	-0.823519
A2.509	-0.341681
A2.510	-0.356616
A2.511	-2.243771
A2.512	-0.280337
A2.513	-0.713848
A2.514	0.908861
A2.515	0.083914
A2.516	1.670870
A2.517	-1.483270
A2.518	1.572794
A2.519	1.573802
A2.520	-0.051089
A2.521	0.967878
A2.522	-1.005608
A2.523	-0.662017
A2.524	1.010976
A2.525	-0.747884
A2.526	-1.709653
A2.527	-0.738960
A2.528	1.425226
A2.529	-0.811782
A2.530	-0.459999
A2.531	-0.709638
A2.532	1.406231
A2.533	-1.967477
A2.534	0.123780
A2.535	-0.189042
A2.536	0.059996
A2.537	0.038367
A2.538	0.107451
A2.539	-0.321192
A2.540	0.035272
A2.541	-0.246087
A2.542	-0.552075
A2.543	0.391685
A2.544	3.061863
A2.545	-0.813735
A2.546	1.466705
A2.547	0.232140
A2.548	0.078096
A2.549	0.638853
A2.550	-0.721273
A2.551	-1.011257
A2.552	0.110445
A2.553	-1.908498
A2.554	-0.131845
A2.555	-3.157352
A2.556	1.313463
A2.557	0.473966
A2.558	-0.216119
A2.559	-0.303632
A2.560	1.050766
A2.561	0.293316
A2.562	-1.297561
A2.563	-0.989470
A2.564	-0.500557
A2.565	0.378032
A2.566	1.766792
A2.567	-1.029958
A2.568	0.642690
A2.569	-0.301695
A2.570	1.067803
A2.571	1.241780
A2.572	-0.944126
A2.573	-1.224905
A2.574	-0.054192
A2.575	-0.079272
A2.576	0.222522
A2.577	-0.980979
A2.578	-0.627585
A2.579	2.592287
A2.580	1.201386
A2.581	1.232521
A2.582	0.651510
A2.583	1.678854
A2.584	-0.690586
A2.585	-0.081477
A2.586	-0.386260
A2.587	-1.127039
A2.588	0.146340
A2.589	-2.174212
A2.590	0.019145
A2.591	-0.227399
A2.592	-0.530332
A2.593	-0.217128
A2.594	1.233498
A2.595	-0.560015
A2.596	-1.017801
A2.597	-1.027832
A2.598	0.590293
A2.599	-1.268617
A2.600	-0.222373
A2.601	0.624146
A2.602	0.312211
A2.603	-0.836000
A2.604	-0.391334
A2.605	0.546761
A2.606	1.157763
A2.607	1.207035
A2.608	-0.228533
A2.609	-0.203637
A2.610	2.144275
A2.611	0.412398
A2.612	0.683266
A2.613	0.004484
A2.614	-0.536202
A2.615	-0.428391
A2.616	0.229206
A2.617	0.240487
A2.618	1.637496
A2.619	-1.662330
A2.620	0.819028
A2.621	0.646336
A2.622	0.819778
A2.623	1.213938
A2.624	-1.545067
A2.625	-0.292334
A2.626	-1.050503
A2.627	-1.722971
A2.628	-0.531340
A2.629	0.254201
A2.630	-0.451013
A2.631	0.981585
A2.632	-0.284580
A2.633	0.704656
A2.634	1.781517
A2.635	0.220789
A2.636	0.509270
A2.637	-0.904477
A2.638	1.464808
A2.639	-0.663397
A2.640	1.280688
A2.641	-0.265542
A2.642	1.423736
A2.643	0.199252
A2.644	-0.755929
A2.645	0.389516
A2.646	-0.834208
A2.647	-2.002375
A2.648	0.795858
A2.649	-0.474273
A2.650	-0.047923
A2.651	-1.406781
A2.652	-1.574817
A2.653	1.266154
A2.654	0.159294
A2.655	-0.900118
A2.656	-0.709368
A2.657	0.388381
A2.658	0.146114
A2.659	0.060783
A2.660	-0.199079
A2.661	-1.673128
A2.662	-0.796462
A2.663	0.025339
A2.664	-0.463497
A2.665	2.333606
A2.666	0.701572
A2.667	-0.334235
A2.668	-0.071552
A2.669	0.591356
A2.670	0.693044
A2.671	0.594409
A2.672	-1.102381
A2.673	0.352776
A2.674	1.030825
A2.675	0.147719
A2.676	-0.194153
A2.677	-0.507832
A2.678	-1.253144
A2.679	-1.159201
A2.680	0.013049
A2.681	-0.504524
A2.682	0.614867
A2.683	-0.971049
A2.684	-2.051995
A2.685	0.804322
A2.686	0.806248
A2.687	-1.242399
A2.688	0.031579
A2.689	-0.755308
A2.690	1.858027
A2.691	-0.553244
A2.692	-1.658322
A2.693	-0.246023
A2.694	-0.819020
A2.695	-1.329029
A2.696	0.220274
A2.697	0.870417
A2.698	-0.468207
A2.699	1.613522
A2.700	-0.196661
A2.701	1.467971
A2.702	0.108206
A2.703	2.361260
A2.704	1.654973
A2.705	-0.022434
A2.706	0.563862
A2.707	0.983498
A2.708	-1.120533
A2.709	-1.346844
A2.710	-0.462968
A2.711	-0.013719
A2.712	-0.027961
A2.713	-1.408133
A2.714	1.076482
A2.715	0.639313
A2.716	1.277032
A2.717	1.189453
A2.718	-1.422868
A2.719	-1.903959
A2.720	-0.801496
A2.721	-0.344876
A2.722	-0.097605
A2.723	1.294501
A2.724	-0.109202
A2.725	-0.332600
A2.726	-0.949828
A2.727	1.122467
A2.728	1.254476
A2.729	-0.863010
A2.730	-0.975044
A2.731	0.227840
A2.732	-1.141701
A2.733	-0.586410
A2.734	-0.051937
A2.735	-2.417031
A2.736	-0.985541
A2.737	-0.750075
A2.738	-0.232447
A2.739	0.466306
A2.740	-1.659807
A2.741	0.097050
A2.742	-0.788670
A2.743	0.787275
A2.744	-2.402448
A2.745	0.617889
A2.746	-0.775305
A2.747	0.754391
A2.748	0.235592
A2.749	1.358791
A2.750	-0.882441
A2.751	0.091996
A2.752	1.178964
A2.753	-1.529300
A2.754	-0.271470
A2.755	0.869474
A2.756	-1.378381
A2.757	0.024104
A2.758	0.596146
A2.759	0.769771
A2.760	1.459445
A2.761	0.243041
A2.762	0.819806
A2.763	-0.992667
A2.764	-0.407537
A2.765	1.450694
A2.766	0.700881
A2.767	1.601856
A2.768	0.183077
A2.769	-0.616098
A2.770	0.667873
A2.771	-0.591756
A2.772	-0.009299
A2.773	-0.988399
A2.774	1.765045
A2.775	-1.222159
A2.776	0.340079
A2.777	0.320513
A2.778	-0.787984
A2.779	2.621388
A2.780	1.023699
A2.781	-1.664376
A2.782	1.539503
A2.783	-1.015591
A2.784	0.219747
A2.785	-0.546569
A2.786	-1.154388
A2.787	0.495876
A2.788	-0.815344
A2.789	-0.720762
A2.790	-0.733876
A2.791	-0.515087
A2.792	1.713896
A2.793	-0.471807
A2.794	-0.128242
A2.795	0.105273
A2.796	-0.795684
A2.797	0.193401
A2.798	-0.014437
A2.799	0.686760
A2.800	-0.330094
A2.801	-0.964749
A2.802	-0.396312
A2.803	0.241078
A2.804	0.595163
A2.805	-0.576229
A2.806	0.626646
A2.807	0.939958
A2.808	0.187593
A2.809	0.691563
A2.810	0.912720
A2.811	-0.750513
A2.812	-3.399143
A2.813	-0.353572
A2.814	0.113843
A2.815	2.038777
A2.816	0.394091
A2.817	0.114077
A2.818	-1.055969
A2.819	-0.231853
A2.820	-0.334327
A2.821	-0.822650
A2.822	0.121883
A2.823	-0.454594
A2.824	-1.754845
A2.825	0.486174
A2.826	-1.008480
A2.827	0.135036
A2.828	-0.020195
A2.829	0.114240
A2.830	-1.181481
A2.831	2.018944
A2.832	-1.212870
A2.833	0.369873
A2.834	-0.156543
A2.835	-1.408975
A2.836	-2.045590
A2.837	-0.529251
A2.838	-1.168088
A2.839	1.118262
A2.840	-1.215385
A2.841	-1.508256
A2.842	-0.814448
A2.843	0.407755
A2.844	-1.067586
A2.845	0.072355
A2.846	-1.234140
A2.847	-0.578771
A2.848	0.879221
A2.849	1.807104
A2.850	1.809222
A2.851	-0.896869
A2.852	-0.335590
A2.853	-1.379606
A2.854	0.071243
A2.855	-1.090706
A2.856	0.313148
A2.857	1.496812
A2.858	2.001141
A2.859	2.018119
A2.860	2.908125
A2.861	1.320444
A2.862	0.129518
A2.863	-0.901268
A2.864	-1.280633
A2.865	0.278662
A2.866	1.023097
A2.867	-0.319456
A2.868	-2.066758
A2.869	-2.207062
A2.870	0.428410
A2.871	-0.811828
A2.872	0.839494
A2.873	-0.303595
A2.874	-0.805367
A2.875	0.123518
A2.876	0.546283
A2.877	-0.594462
A2.878	-0.163460
A2.879	1.419472
A2.880	0.623322
A2.881	-0.077526
A2.882	0.238220
A2.883	-1.821203
A2.884	-0.655930
A2.885	-0.539847
A2.886	-0.158351
A2.887	-0.138623
A2.888	-2.372054
A2.889	-0.685587
A2.890	0.369196
A2.891	-1.593102
A2.892	0.230189
A2.893	0.063371
A2.894	0.123587
A2.895	0.468773
A2.896	-1.647249
A2.897	-0.284984
A2.898	0.377225
A2.899	0.139550
A2.900	0.027299
A2.901	0.940297
A2.902	-0.408682
A2.903	-1.582694
A2.904	-2.057631
A2.905	-1.417103
A2.906	1.833980
A2.907	-1.731435
A2.908	-0.434104
A2.909	-0.997254
A2.910	2.748453
A2.911	-0.491728
A2.912	-0.968957
A2.913	0.564516
A2.914	0.389049
A2.915	0.096304
A2.916	1.195206
A2.917	0.603322
A2.918	0.454622
A2.919	-0.832356
A2.920	-1.032845
A2.921	0.423933
A2.922	1.463614
A2.923	-1.175251
A2.924	0.419337
A2.925	-0.463395
A2.926	-1.088492
A2.927	-0.663420
A2.928	-0.420823
A2.929	-0.309381
A2.930	-1.828740
A2.931	-0.154248
A2.932	-2.583051
A2.933	0.024588
A2.934	0.674619
A2.935	0.080620
A2.936	-0.650357
A2.937	0.334364
A2.938	0.463546
A2.939	-1.816129
A2.940	1.393595
A2.941	0.513424
A2.942	-1.070456
A2.943	-0.900424
A2.944	1.594109
A2.945	-1.057280
A2.946	0.647781
A2.947	-0.186681
A2.948	1.261641
A2.949	-0.806562
A2.950	-0.670365
A2.951	-0.924925
A2.952	0.073229
A2.953	-0.406786
A2.954	0.764994
A2.955	1.314291
A2.956	0.061281
A2.957	1.975060
A2.958	-0.539305
A2.959	-0.849722
A2.960	-0.069460
A2.961	-0.026047
A2.962	-0.652177
A2.963	1.092216
A2.964	-2.003757
A2.965	2.422768
A2.966	-0.708844
A2.967	0.941745
A2.968	0.217431
A2.969	-0.399993
A2.970	1.135142
A2.971	-0.791558
A2.972	-1.405130
A2.973	0.579249
A2.974	0.673759
A2.975	0.073131
A2.976	-0.659947
A2.977	-0.292539
A2.978	1.382374
A2.979	0.179709
A2.980	-0.334170
A2.981	-2.130948
A2.982	-0.442233
A2.983	0.512196
A2.984	1.636530
A2.985	0.704464
A2.986	-0.404608
A2.987	2.089975
A2.988	1.415492
A2.989	-0.907981
A2.990	-2.367876
A2.991	1.335062
A2.992	0.383877
A2.993	1.137479
A2.994	-0.992879
A2.995	0.808787
A2.996	0.067088
A2.997	-0.218758
A2.998	1.046377
A2.999	-0.279976
A2.1000	0.814041
A3.1	0.183290
A3.2	-0.848936
A3.3	-0.949386
A3.4	1.102925
A3.5	-0.374348
A3.6	0.822699
A3.7	-0.214973
A3.8	0.924548
A3.9	-0.805118
A3.10	-1.189448
A3.11	0.063350
A3.12	-0.550364
A3.13	-1.794457
A3.14	0.878226
A3.15	-0.578026
A3.16	1.432254
A3.17	0.684670
A3.18	-0.942407
A3.19	-0.357287
A3.20	-0.830536
A3.21	-2.405286
A3.22	1.621900
A3.23	-0.411936
A3.24	-1.539240
A3.25	-0.848793
A3.26	0.748475
A3.27	-0.723479
A3.28	0.422064
A3.29	-0.735606
A3.30	-0.742731
A3.31	-0.080585
A3.32	0.494031
A3.33	0.822992
A3.34	-1.137244
A3.35	-0.101186
A3.36	-0.615434
A3.37	-0.156437
A3.38	-0.310275
A3.39	-0.760773
A3.40	-1.003941
A3.41	0.228175
A3.42	-0.030886
A3.43	-0.647560
A3.44	0.149911
A3.45	-0.521785
A3.46	0.604279
A3.47	0.203246
A3.48	-0.228383
A3.49	1.657882
A3.50	0.747529
A3.51	1.770253
A3.52	-0.868613
A3.53	-1.036025
A3.54	-2.489547
A3.55	-1.840352
A3.56	0.607883
A3.57	0.057188
A3.58	0.177463
A3.59	-1.354467
A3.60	-2.137031
A3.61	-0.724072
A3.62	-0.628297
A3.63	1.097614
A3.64	1.245530
A3.65	0.910467
A3.66	-0.590508
A3.67	0.634147
A3.68	-1.010065
A3.69	-0.496416
A3.70	-1.577001
A3.71	1.632266
A3.72	0.557749
A3.73	-1.691088
A3.74	-0.506302
A3.75	-0.838323
A3.76	-1.367822
A3.77	-0.733715
A3.78	0.689747
A3.79	-0.630059
A3.80	1.518609
A3.81	0.600450
A3.82	-0.649244
A3.83	0.882920
A3.84	0.337710
A3.85	0.767051
A3.86	0.307837
A3.87	0.178761
A3.88	-0.918290
A3.89	1.618236
A3.90	-0.601361
A3.91	-0.384635
A3.92	-0.037899
A3.93	-1.461545
A3.94	-1.523283
A3.95	0.064535
A3.96	-0.243019
A3.97	0.151236
A3.98	0.752800
A3.99	0.551982
A3.100	0.442194
A3.101	-2.665409
A3.102	0.134886
A3.103	0.361223
A3.104	0.196327
A3.105	-0.160697
A3.106	0.074506
A3.107	1.365870
A3.108	1.034013
A3.109	-0.930390
A3.110	-0.230022
A3.111	0.372830
A3.112	0.396282
A3.113	-0.018992
A3.114	-0.890163
A3.115	-0.434466
A3.116	0.377242
A3.117	-0.040060
A3.118	-0.045279
A3.119	0.381944
A3.120	-0.089791
A3.121	0.026100
A3.122	-0.366665
A3.123	0.131733
A3.124	-0.928850
A3.125	1.863524
A3.126	1.378662
A3.127	-1.431857
A3.128	2.181761
A3.129	1.810445
A3.130	2.415597
A3.131	-0.634705
A3.132	-0.530695
A3.133	0.537554
A3.134	-0.198572
A3.135	1.717466
A3.136	-0.515911
A3.137	-2.337765
A3.138	-1.151325
A3.139	-0.410603
A3.140	-1.019431
A3.141	0.815772
A3.142	0.071994
A3.143	0.649711
A3.144	-0.280873
A3.145	0.799062
A3.146	0.095436
A3.147	-0.169799
A3.148	-0.110433
A3.149	0.203493
A3.150	-0.283237
A3.151	-0.692115
A3.152	0.653826
A3.153	-1.622332
A3.154	0.603413
A3.155	1.011459
A3.156	0.909177
A3.157	-0.495633
A3.158	0.368221
A3.159	-0.569898
A3.160	-1.661797
A3.161	0.026723
A3.162	0.952410
A3.163	2.012185
A3.164	-0.620677
A3.165	1.448217
A3.166	-0.112280
A3.167	0.095030
A3.168	0.570659
A3.169	1.232650
A3.170	0.868536
A3.171	-0.208950
A3.172	0.424354
A3.173	0.627146
A3.174	0.977383
A3.175	1.592730
A3.176	1.171817
A3.177	-0.512630
A3.178	0.437442
A3.179	0.604719
A3.180	-0.373756
A3.181	-0.797064
A3.182	1.321320
A3.183	-1.189361
A3.184	-0.912876
A3.185	1.477395
A3.186	-0.018859
A3.187	0.726286
A3.188	0.141523
A3.189	0.555300
A3.190	-0.850821
A3.191	0.538140
A3.192	0.117780
A3.193	0.011527
A3.194	0.725487
A3.195	1.244549
A3.196	-0.710574
A3.197	0.951872
A3.198	1.353189
A3.199	0.826361
A3.200	-0.475861
A3.201	0.655974
A3.202	0.034128
A3.203	1.270730
A3.204	0.278053
A3.205	0.524781
A3.206	1.368025
A3.207	0.237857
A3.208	-1.273710
A3.209	-1.408614
A3.210	1.200158
A3.211	0.695904
A3.212	-1.050078
A3.213	0.608880
A3.214	-2.295147
A3.215	-0.549622
A3.216	0.886721
A3.217	3.059998
A3.218	-0.574101
A3.219	-1.690412
A3.220	1.896675
A3.221	-2.038503
A3.222	-0.160470
A3.223	0.191919
A3.224	-0.962343
A3.225	1.604114
A3.226	0.179879
A3.227	0.015201
A3.228	0.556612
A3.229	1.307390
A3.230	-0.340751
A3.231	-1.989414
A3.232	-1.425028
A3.233	1.753063
A3.234	1.007707
A3.235	-0.378398
A3.236	-1.157612
A3.237	-0.035936
A3.238	-1.011550
A3.239	-0.021957
A3.240	0.691535
A3.241	-0.065763
A3.242	1.470067
A3.243	0.747996
A3.244	1.135810
A3.245	-1.910709
A3.246	0.516381
A3.247	-1.172817
A3.248	0.082662
A3.249	1.370232
A3.250	0.190209
A3.251	1.325834
A3.252	1.594099
A3.253	-1.060296
A3.254	-1.405396
A3.255	0.711146
A3.256	-0.632759
A3.257	1.429239
A3.258	-1.936132
A3.259	1.421429
A3.260	-0.044673
A3.261	-0.568883
A3.262	-1.289333
A3.263	1.164667
A3.264	-0.721746
A3.265	-1.011624
A3.266	2.281978
A3.267	1.086382
A3.268	-0.891680
A3.269	1.137366
A3.270	-1.277957
A3.271	-0.685287
A3.272	-1.221123
A3.273	-0.257668
A3.274	-0.076669
A3.275	0.600200
A3.276	-0.136266
A3.277	0.523319
A3.278	-0.126725
A3.279	0.686916
A3.280	-0.779732
A3.281	-0.185897
A3.282	1.067942
A3.283	1.100573
A3.284	-0.734607
A3.285	1.081935
A3.286	1.532690
A3.287	1.268961
A3.288	1.126584
A3.289	0.666023
A3.290	0.006043
A3.291	-0.149624
A3.292	0.834800
A3.293	1.872879
A3.294	-0.794212
A3.295	-1.075946
A3.296	-0.749793
A3.297	-0.171134
A3.298	-0.834556
A3.299	-0.731799
A3.300	-0.663635
A3.301	0.254451
A3.302	-0.273451
A3.303	0.635653
A3.304	-0.208519
A3.305	0.293785
A3.306	0.420998
A3.307	1.458154
A3.308	-0.037143
A3.309	-1.409288
A3.310	-0.326741
A3.311	1.414618
A3.312	-0.559413
A3.313	-0.481013
A3.314	-1.148295
A3.315	-0.475518
A3.316	-0.325361
A3.317	-0.504676
A3.318	-0.272611
A3.319	0.332863
A3.320	-0.236550
A3.321	1.788804
A3.322	0.190381
A3.323	0.346917
A3.324	0.150482
A3.325	-1.414811
A3.326	1.171714
A3.327	0.328632
A3.328	0.121649
A3.329	0.713292
A3.330	0.442552
A3.331	0.607919
A3.332	-0.488127
A3.333	-0.996189
A3.334	-1.957813
A3.335	-0.017561
A3.336	0.206088
A3.337	-1.102578
A3.338	0.342656
A3.339	-1.191133
A3.340	0.408761
A3.341	-0.396116
A3.342	0.162819
A3.343	1.006580
A3.344	0.912597
A3.345	-0.128355
A3.346	0.506040
A3.347	-1.270856
A3.348	0.897229
A3.349	0.991255
A3.350	1.760002
A3.351	-2.901052
A3.352	-1.905793
A3.353	-0.998458
A3.354	0.156161
A3.355	1.925152
A3.356	1.869149
A3.357	0.144350
A3.358	-1.497045
A3.359	-1.421644
A3.360	0.453206
A3.361	0.531835
A3.362	-2.395671
A3.363	0.412105
A3.364	0.702636
A3.365	1.036690
A3.366	1.120098
A3.367	1.852271
A3.368	-0.654176
A3.369	0.486850
A3.370	-0.403485
A3.371	-1.426876
A3.372	0.078123
A3.373	-0.767413
A3.374	0.072121
A3.375	-2.516857
A3.376	2.510861
A3.377	0.736030
A3.378	0.055811
A3.379	0.407366
A3.380	0.594497
A3.381	0.649131
A3.382	0.247568
A3.383	0.116301
A3.384	0.085830
A3.385	-0.351664
A3.386	-1.086133
A3.387	1.585488
A3.388	0.597802
A3.389	1.604946
A3.390	0.927724
A3.391	0.815224
A3.392	-1.016429
A3.393	1.097694
A3.394	-2.268921
A3.395	-0.841373
A3.396	0.558754
A3.397	-0.018945
A3.398	-0.059636
A3.399	-0.841320
A3.400	0.891050
A3.401	-1.402448
A3.402	0.992666
A3.403	0.440858
A3.404	-0.443802
A3.405	0.746055
A3.406	1.488170
A3.407	1.189297
A3.408	0.142664
A3.409	0.454332
A3.410	0.426245
A3.411	2.034503
A3.412	-0.314558
A3.413	-1.120477
A3.414	-1.372432
A3.415	-1.445204
A3.416	0.604228
A3.417	-1.410563
A3.418	-1.168302
A3.419	0.689632
A3.420	-0.549132
A3.421	0.827692
A3.422	-0.044582
A3.423	-0.136166
A3.424	0.923339
A3.425	0.945980
A3.426	0.413808
A3.427	0.366672
A3.428	1.285972
A3.429	-0.788584
A3.430	1.532141
A3.431	1.726489
A3.432	-0.617426
A3.433	0.645256
A3.434	0.406649
A3.435	0.429237
A3.436	2.061910
A3.437	1.100921
A3.438	-0.568000
A3.439	0.035022
A3.440	1.959661
A3.441	1.257200
A3.442	-2.037016
A3.443	0.152800
A3.444	-0.516900
A3.445	-0.057883
A3.446	0.032683
A3.447	1.861458
A3.448	1.151454
A3.449	-1.059022
A3.450	-0.049077
A3.451	0.216904
A3.452	-0.237421
A3.453	0.152109
A3.454	-0.877722
A3.455	0.364235
A3.456	-0.418785
A3.457	1.381630
A3.458	-1.954856
A3.459	0.512231
A3.460	0.069962
A3.461	0.021768
A3.462	-1.543198
A3.463	-0.574559
A3.464	0.181216
A3.465	-0.007865
A3.466	-0.740951
A3.467	0.251402
A3.468	-0.005592
A3.469	-0.819550
A3.470	0.809778
A3.471	-1.335346
A3.472	1.591893
A3.473	-0.682208
A3.474	1.545264
A3.475	-0.591564
A3.476	1.633400
A3.477	0.596327
A3.478	-2.740067
A3.479	-0.196837
A3.480	1.614978
A3.481	0.694210
A3.482	-1.064106
A3.483	-1.251428
A3.484	1.129155
A3.485	-1.673665
A3.486	0.217230
A3.487	2.228821
A3.488	-0.928635
A3.489	0.427816
A3.490	-0.608294
A3.491	-0.809542
A3.492	0.712348
A3.493	1.399346
A3.494	0.609969
A3.495	1.641284
A3.496	1.090923
A3.497	0.032737
A3.498	1.530275
A3.499	-0.418797
A3.500	0.716311
A3.501	-0.116560
A3.502	1.617130
A3.503	-0.089082
A3.504	0.295582
A3.505	0.393184
A3.506	1.290127
A3.507	0.525612
A3.508	-0.628629
A3.509	0.301071
A3.510	1.195973
A3.511	-0.336046
A3.512	2.563886
A3.513	-0.306514
A3.514	0.023452
A3.515	0.261640
A3.516	0.466594
A3.517	0.077302
A3.518	-0.318708
A3.519	-1.085661
A3.520	0.675457
A3.521	-1.024902
A3.522	1.364080
A3.523	-1.319293
A3.524	0.839515
A3.525	-0.540648
A3.526	0.929778
A3.527	0.205391
A3.528	1.333255
A3.529	-2.301589
A3.530	-0.640314
A3.531	-1.327931
A3.532	-0.480913
A3.533	0.036023
A3.534	-0.806262
A3.535	0.390515
A3.536	-0.719873
A3.537	1.028299
A3.538	0.520568
A3.539	1.333765
A3.540	-2.395681
A3.541	-1.165486
A3.542	-0.981713
A3.543	-0.173562
A3.544	-0.852019
A3.545	-0.919220
A3.546	0.302915
A3.547	-1.572300
A3.548	0.836592
A3.549	-2.162307
A3.550	0.561461
A3.551	-1.272659
A3.552	-0.135325
A3.553	0.670823
A3.554	-0.943819
A3.555	0.754349
A3.556	1.429149
A3.557	-0.593667
A3.558	-0.566211
A3.559	-0.842454
A3.560	-0.078553
A3.561	-0.623733
A3.562	-0.791389
A3.563	-2.230271
A3.564	-2.067383
A3.565	-0.160813
A3.566	-1.376384
A3.567	0.430081
A3.568	0.659732
A3.569	1.401445
A3.570	-0.391012
A3.571	-0.621154
A3.572	-0.210597
A3.573	1.870420
A3.574	0.330894
A3.575	1.279698
A3.576	-2.671032
A3.577	-2.293392
A3.578	-0.077608
A3.579	0.791039
A3.580	1.622582
A3.581	-0.643069
A3.582	-0.900299
A3.583	-0.454783
A3.584	0.035386
A3.585	-0.204989
A3.586	1.200493
A3.587	-0.485796
A3.588	1.454099
A3.589	-0.459723
A3.590	-1.409578
A3.591	0.607775
A3.592	-0.498504
A3.593	-0.784601
A3.594	-0.528888
A3.595	-1.621778
A3.596	1.456341
A3.597	-1.554246
A3.598	1.293756
A3.599	-0.548387
A3.600	-1.612245
A3.601	2.381204
A3.602	-1.620887
A3.603	-1.892275
A3.604	-0.373989
A3.605	1.466339
A3.606	-0.320955
A3.607	-0.366052
A3.608	1.734058
A3.609	-0.494193
A3.610	1.395954
A3.611	-0.583595
A3.612	0.060451
A3.613	0.787037
A3.614	-0.210158
A3.615	-1.631448
A3.616	0.225881
A3.617	0.362161
A3.618	1.478088
A3.619	0.308708
A3.620	-0.363838
A3.621	-1.448800
A3.622	-0.321477
A3.623	0.187535
A3.624	1.667333
A3.625	1.662748
A3.626	0.332995
A3.627	-0.365182
A3.628	-0.109319
A3.629	0.213709
A3.630	-0.024866
A3.631	0.504348
A3.632	-0.632990
A3.633	-0.366899
A3.634	0.827290
A3.635	0.266037
A3.636	-1.374618
A3.637	1.457870
A3.638	-2.082295
A3.639	1.783891
A3.640	-0.099818
A3.641	-0.379876
A3.642	0.975850
A3.643	-0.650728
A3.644	-1.056952
A3.645	0.394791
A3.646	0.533598
A3.647	1.744186
A3.648	2.590361
A3.649	0.220704
A3.650	0.170594
A3.651	-0.003973
A3.652	-1.382488
A3.653	0.976178
A3.654	-1.465055
A3.655	1.060506
A3.656	0.220877
A3.657	1.328414
A3.658	0.819339
A3.659	-1.479606
A3.660	-1.269156
A3.661	-0.512565
A3.662	-0.319389
A3.663	-1.684219
A3.664	-1.986173
A3.665	-0.869620
A3.666	-0.720287
A3.667	0.075244
A3.668	0.081951
A3.669	0.553600
A3.670	-0.030629
A3.671	0.263767
A3.672	-0.700266
A3.673	1.868870
A3.674	-0.245838
A3.675	0.900460
A3.676	1.081225
A3.677	0.343810
A3.678	0.834373
A3.679	-2.676506
A3.680	0.147222
A3.681	1.575421
A3.682	-0.054361
A3.683	-0.579576
A3.684	2.680817
A3.685	-0.996100
A3.686	0.146968
A3.687	0.781125
A3.688	-0.096680
A3.689	2.014284
A3.690	0.459280
A3.691	-0.143661
A3.692	0.802834
A3.693	1.420819
A3.694	0.185274
A3.695	1.032701
A3.696	-0.981263
A3.697	0.208270
A3.698	-0.234116
A3.699	1.140936
A3.700	-1.508862
A3.701	-1.815617
A3.702	0.834239
A3.703	0.158343
A3.704	-0.732960
A3.705	1.545421
A3.706	0.219817
A3.707	-0.563905
A3.708	-1.339477
A3.709	1.902709
A3.710	0.311724
A3.711	1.423996
A3.712	-1.308129
A3.713	-1.283046
A3.714	-0.355044
A3.715	-0.739226
A3.716	-1.016217
A3.717	0.412113
A3.718	2.092847
A3.719	-0.448748
A3.720	0.059749
A3.721	-0.627845
A3.722	-1.461632
A3.723	1.740123
